,age,sex
0,22.0,male
1,38.0,female
2,26.0,female
3,35.0,female
4,35.0,male
5,,male
6,54.0,male
7,2.0,male
8,27.0,female
9,14.0,female
10,4.0,female
11,58.0,female
12,20.0,male
13,39.0,male
14,14.0,female
15,55.0,female
16,2.0,male
17,,male
18,31.0,female
19,,female
20,35.0,male
21,34.0,male
22,15.0,female
23,28.0,male
24,8.0,female
25,38.0,female
26,,male
27,19.0,male
28,,female
29,,male
30,40.0,male
31,,female
32,,female
33,66.0,male
34,28.0,male
35,42.0,male
36,,male
37,21.0,male
38,18.0,female
39,14.0,female
40,40.0,female
41,27.0,female
42,,male
43,3.0,female
44,19.0,female
45,,male
46,,male
47,,female
48,,male
49,18.0,female
50,7.0,male
51,21.0,male
52,49.0,female
53,29.0,female
54,65.0,male
55,,male
56,21.0,female
57,28.5,male
58,5.0,female
59,11.0,male
60,22.0,male
61,38.0,female
62,45.0,male
63,4.0,male
64,,male
65,,male
66,29.0,female
67,19.0,male
68,17.0,female
69,26.0,male
70,32.0,male
71,16.0,female
72,21.0,male
73,26.0,male
74,32.0,male
75,25.0,male
76,,male
77,,male
78,0.83,male
79,30.0,female
80,22.0,male
81,29.0,male
82,,female
83,28.0,male
84,17.0,female
85,33.0,female
86,16.0,male
87,,male
88,23.0,female
89,24.0,male
90,29.0,male
91,20.0,male
92,46.0,male
93,26.0,male
94,59.0,male
95,,male
96,71.0,male
97,23.0,male
98,34.0,female
99,34.0,male
100,28.0,female
101,,male
102,21.0,male
103,33.0,male
104,37.0,male
105,28.0,male
106,21.0,female
107,,male
108,38.0,male
109,,female
110,47.0,male
111,14.5,female
112,22.0,male
113,20.0,female
114,17.0,female
115,21.0,male
116,70.5,male
117,29.0,male
118,24.0,male
119,2.0,female
120,21.0,male
121,,male
122,32.5,male
123,32.5,female
124,54.0,male
125,12.0,male
126,,male
127,24.0,male
128,,female
129,45.0,male
130,33.0,male
131,20.0,male
132,47.0,female
133,29.0,female
134,25.0,male
135,23.0,male
136,19.0,female
137,37.0,male
138,16.0,male
139,24.0,male
140,,female
141,22.0,female
142,24.0,female
143,19.0,male
144,18.0,male
145,19.0,male
146,27.0,male
147,9.0,female
148,36.5,male
149,42.0,male
150,51.0,male
151,22.0,female
152,55.5,male
153,40.5,male
154,,male
155,51.0,male
156,16.0,female
157,30.0,male
158,,male
159,,male
160,44.0,male
161,40.0,female
162,26.0,male
163,17.0,male
164,1.0,male
165,9.0,male
166,,female
167,45.0,female
168,,male
169,28.0,male
170,61.0,male
171,4.0,male
172,1.0,female
173,21.0,male
174,56.0,male
175,18.0,male
176,,male
177,50.0,female
178,30.0,male
179,36.0,male
180,,female
181,,male
182,9.0,male
183,1.0,male
184,4.0,female
185,,male
186,,female
187,45.0,male
188,40.0,male
189,36.0,male
190,32.0,female
191,19.0,male
192,19.0,female
193,3.0,male
194,44.0,female
195,58.0,female
196,,male
197,42.0,male
198,,female
199,24.0,female
200,28.0,male
201,,male
202,34.0,male
203,45.5,male
204,18.0,male
205,2.0,female
206,32.0,male
207,26.0,male
208,16.0,female
209,40.0,male
210,24.0,male
211,35.0,female
212,22.0,male
213,30.0,male
214,,male
215,31.0,female
216,27.0,female
217,42.0,male
218,32.0,female
219,30.0,male
220,16.0,male
221,27.0,male
222,51.0,male
223,,male
224,38.0,male
225,22.0,male
226,19.0,male
227,20.5,male
228,18.0,male
229,,female
230,35.0,female
231,29.0,male
232,59.0,male
233,5.0,female
234,24.0,male
235,,female
236,44.0,male
237,8.0,female
238,19.0,male
239,33.0,male
240,,female
241,,female
242,29.0,male
243,22.0,male
244,30.0,male
245,44.0,male
246,25.0,female
247,24.0,female
248,37.0,male
249,54.0,male
250,,male
251,29.0,female
252,62.0,male
253,30.0,male
254,41.0,female
255,29.0,female
256,,female
257,30.0,female
258,35.0,female
259,50.0,female
260,,male
261,3.0,male
262,52.0,male
263,40.0,male
264,,female
265,36.0,male
266,16.0,male
267,25.0,male
268,58.0,female
269,35.0,female
270,,male
271,25.0,male
272,41.0,female
273,37.0,male
274,,female
275,63.0,female
276,45.0,female
277,,male
278,7.0,male
279,35.0,female
280,65.0,male
281,28.0,male
282,16.0,male
283,19.0,male
284,,male
285,33.0,male
286,30.0,male
287,22.0,male
288,42.0,male
289,22.0,female
290,26.0,female
291,19.0,female
292,36.0,male
293,24.0,female
294,24.0,male
295,,male
296,23.5,male
297,2.0,female
298,,male
299,50.0,female
300,,female
301,,male
302,19.0,male
303,,female
304,,male
305,0.92,male
306,,female
307,17.0,female
308,30.0,male
309,30.0,female
310,24.0,female
311,18.0,female
312,26.0,female
313,28.0,male
314,43.0,male
315,26.0,female
316,24.0,female
317,54.0,male
318,31.0,female
319,40.0,female
320,22.0,male
321,27.0,male
322,30.0,female
323,22.0,female
324,,male
325,36.0,female
326,61.0,male
327,36.0,female
328,31.0,female
329,16.0,female
330,,female
331,45.5,male
332,38.0,male
333,16.0,male
334,,female
335,,male
336,29.0,male
337,41.0,female
338,45.0,male
339,45.0,male
340,2.0,male
341,24.0,female
342,28.0,male
343,25.0,male
344,36.0,male
345,24.0,female
346,40.0,female
347,,female
348,3.0,male
349,42.0,male
350,23.0,male
351,,male
352,15.0,male
353,25.0,male
354,,male
355,28.0,male
356,22.0,female
357,38.0,female
358,,female
359,,female
360,40.0,male
361,29.0,male
362,45.0,female
363,35.0,male
364,,male
365,30.0,male
366,60.0,female
367,,female
368,,female
369,24.0,female
370,25.0,male
371,18.0,male
372,19.0,male
373,22.0,male
374,3.0,female
375,,female
376,22.0,female
377,27.0,male
378,20.0,male
379,19.0,male
380,42.0,female
381,1.0,female
382,32.0,male
383,35.0,female
384,,male
385,18.0,male
386,1.0,male
387,36.0,female
388,,male
389,17.0,female
390,36.0,male
391,21.0,male
392,28.0,male
393,23.0,female
394,24.0,female
395,22.0,male
396,31.0,female
397,46.0,male
398,23.0,male
399,28.0,female
400,39.0,male
401,26.0,male
402,21.0,female
403,28.0,male
404,20.0,female
405,34.0,male
406,51.0,male
407,3.0,male
408,21.0,male
409,,female
410,,male
411,,male
412,33.0,female
413,,male
414,44.0,male
415,,female
416,34.0,female
417,18.0,female
418,30.0,male
419,10.0,female
420,,male
421,21.0,male
422,29.0,male
423,28.0,female
424,18.0,male
425,,male
426,28.0,female
427,19.0,female
428,,male
429,32.0,male
430,28.0,male
431,,female
432,42.0,female
433,17.0,male
434,50.0,male
435,14.0,female
436,21.0,female
437,24.0,female
438,64.0,male
439,31.0,male
440,45.0,female
441,20.0,male
442,25.0,male
443,28.0,female
444,,male
445,4.0,male
446,13.0,female
447,34.0,male
448,5.0,female
449,52.0,male
450,36.0,male
451,,male
452,30.0,male
453,49.0,male
454,,male
455,29.0,male
456,65.0,male
457,,female
458,50.0,female
459,,male
460,48.0,male
461,34.0,male
462,47.0,male
463,48.0,male
464,,male
465,38.0,male
466,,male
467,56.0,male
468,,male
469,0.75,female
470,,male
471,38.0,male
472,33.0,female
473,23.0,female
474,22.0,female
475,,male
476,34.0,male
477,29.0,male
478,22.0,male
479,2.0,female
480,9.0,male
481,,male
482,50.0,male
483,63.0,female
484,25.0,male
485,,female
486,35.0,female
487,58.0,male
488,30.0,male
489,9.0,male
490,,male
491,21.0,male
492,55.0,male
493,71.0,male
494,21.0,male
495,,male
496,54.0,female
497,,male
498,25.0,female
499,24.0,male
500,17.0,male
501,21.0,female
502,,female
503,37.0,female
504,16.0,female
505,18.0,male
506,33.0,female
507,,male
508,28.0,male
509,26.0,male
510,29.0,male
511,,male
512,36.0,male
513,54.0,female
514,24.0,male
