,지정일자,업체명,분야
14,1972-05-01,대원강업,기타
77,1973-04-01,현대두산인프라코어,기동
38,1973-04-01,서울엔지니어링,기타
75,1973-04-01,한화,탄약
45,1973-04-01,알코아코리아,탄약
81,1973-04-01,휴니드테크놀러지스,통신전자
68,1973-04-01,한국통신기산업,화생방
73,1973-04-01,한일단조공업,탄약
53,1973-04-01,진성테크,화력
55,1973-04-01,진영정기,화력
32,1973-04-01,삼공물산,화생방
85,1973-04-01,S&T중공업,화력
5,1973-04-01,기아 ,기동
64,1973-04-01,풍산,탄약
35,1974-05-01,"삼양컴텍(구,오리엔탈코)",기타
49,1974-05-01,은성사,기타
26,1974-05-01,로우테크놀로지,화력
48,1974-05-01,유니모테크놀로지,화력
74,1974-05-01,한진중공업,함정
70,1975-03-01,한국화이바,항공유도
4,1975-10-01,금호타이어,항공
0,1975-10-01,강남,함정
15,1975-10-01,대한항공,항공유도
61,1975-10-01,퍼스텍,항공유도
80,1976-03-01,현대중공업,함정
82,1976-06-01,LIG넥스원,항공유도
47,1976-07-01,위아,화력
57,1976-10-01,케이에스피,기타
86,1977-07-01,STX엔진,기동
62,1978-04-01,평화산업,기동
34,1978-04-01,삼성테크윈,화력
54,1978-07-01,진양공업,기타
22,1978-08-01,두산모트롤(구.동명모트롤),기동
9,1978-12-01,대동기어,화력
78,1978-12-01,현대로템,기동
51,1978-12-01,이화전기공업,통신전자
36,1979-02-01,삼양화학공업,탄약
25,1979-03-01,두원중공업,화력
65,1979-07-01,풍산FNS,탄약
13,1981-07-01,대우조선해양,함정
84,1982-04-01,S&T대우,화력
83,1984-05-01,LS전선,기동
24,1985-06-01,두산중공업,기동
2,1988-01-01,광림,기동
10,1988-03-01,대명,기타
12,1990-11-01,대양전기공업,기타
71,1990-12-01,한벨헬리콥터,항공유도
11,1991-02-01,대신금속,기타
58,1991-06-01,"코리아일렉콤(구,한림에스티)",통신전자
21,1992-02-01,동진전기,기동
29,1993-05-01,비엔비쏠루션,통신전자
31,1993-10-01,비츠로셀,통신전자
50,1994-05-01,이오시스템,통신전자
19,1994-06-01,동양테크,기타
46,1995-05-01,연합정밀,통신전자
63,1997-05-01,포스코특수강,화력
28,1997-07-01,발레오전장,기타
7,1997-10-01,다이모스,기동
40,1997-11-01,세방하이테크,함정
69,1999-12-01,한국항공우주산업,항공유도
67,2000-01-01,한국로스트왁스공업,항공
33,2000-02-01,삼성탈레스,통신전자
42,2000-06-01,스페코,함정
59,2001-01-06,크로시스,기타
44,2001-02-01,신정개발특장차,기동
20,2001-03-01,동일쉘터시스템,통신전자
18,2001-06-01,동양정공,탄약
60,2001-07-01,티에스택,통신전자
79,2001-07-01,현대제이콤,통신전자
27,2002-06-01,메크,유도
43,2002-12-01,시공사,기동
3,2002-12-01,극동통신,유도
16,2002-12-01,도담시스템스,기타
6,2003-05-01,다윈프릭션,항공유도
17,2003-07-01,동성전기,화력
52,2004-01-01,인소팩,통신전자
1,2004-03-01,경주전장,항공
37,2004-10-01,삼영이엔씨,통신전자
23,2005-05-01,두산엔진,함정
66,2005-07-01,프롬투정보통신,통신전자
76,2005-12-01,해안기계산업,함정
72,2006-12-01,한양네비콤,유도
56,2007-01-01,칸워크홀딩스,화력
8,2007-02-01,단암시스템즈,항공유도
30,2007-03-01,비젼이노텍,항공
39,2007-03-01,성진테크윈,항공유도
41,2007-03-01,수원지관산업,탄약
87,2007-09-01,STX조선,함정
